Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBins,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
26.0,4,109166.37,1,1,1,-0.1260627762252652,0,1,False,True,False,False,True
36.0,6,169831.46,2,1,1,-1.2577791147705282,0,3,False,True,False,True,False
34.0,1,101633.04,1,1,0,0.17982435403694502,0,1,False,True,False,True,False
43.0,10,123180.01,2,1,1,1.6794825587635858,0,2,False,True,False,False,True
35.0,5,150725.53,2,0,1,0.23590979377262114,0,1,False,True,False,True,False
21.0,8,98373.26,1,1,0,-1.4239372771449408,0,2,True,False,False,True,False
58.0,2,133745.44,4,1,0,-1.2470761847980885,1,2,False,True,False,False,True
29.0,6,0.0,1,1,0,-1.150045386625037,0,4,True,False,False,False,True
37.0,0,163607.18,1,0,1,-0.971813693237685,0,1,False,False,True,True,False
25.0,5,157780.84,2,1,1,-0.7244854141803299,0,1,False,True,False,True,False
36.0,9,0.0,2,0,1,0.7907154272123808,0,0,True,False,False,False,True
21.0,1,178718.19,2,1,0,-1.3511643089326582,0,2,True,False,False,True,False
55.0,8,0.0,2,1,1,0.6794126066593463,0,1,True,False,False,False,True
32.0,9,0.0,1,1,1,0.836765674605092,0,2,True,False,False,True,False
33.0,5,77253.22,1,0,1,1.637163817045588,0,3,False,False,True,False,True
41.0,10,122189.66,2,1,0,-0.03110248637360859,0,0,False,True,False,True,False
38.91,1,96645.54,2,0,0,1.240243007195046,0,1,True,False,False,True,False
32.0,2,0.0,1,1,0,0.6324023125342576,1,3,True,False,False,True,False
36.0,3,0.0,2,0,0,-1.2880145876351567,0,0,True,False,False,True,False
34.0,4,90307.62,1,1,1,1.0284733219172884,0,0,True,False,False,True,False
46.0,4,0.0,2,1,0,-1.7072969569127634,0,0,True,False,False,True,False
75.0,10,0.0,2,1,1,0.25362744665469866,0,1,False,False,True,True,False
22.0,3,121681.82,1,1,0,0.4965100537758168,1,3,False,False,True,False,True
30.0,9,0.0,2,1,0,0.9003869856034099,0,2,True,False,False,False,True
38.91,4,0.0,3,1,0,-0.11892024415998563,1,1,True,False,False,True,False
28.0,3,81623.67,2,1,1,0.9859758212713994,0,1,False,True,False,True,False
44.0,5,0.0,3,1,1,1.2887854461777652,1,1,False,False,True,True,False
45.0,7,118626.55,2,1,0,0.8180172017575125,0,4,True,False,False,False,True
38.91,10,0.0,2,1,0,0.16561858374988617,0,0,True,False,False,True,False
29.0,8,0.0,2,1,1,1.2554922914181668,0,3,True,False,False,False,True
42.0,4,0.0,2,0,1,-0.24532002128941735,0,2,False,False,True,False,True
35.0,10,176273.95,1,0,1,0.3684301513922223,0,0,False,False,True,False,True
38.91,9,102827.44,1,0,1,-0.6172224062856171,0,3,False,False,True,False,True
29.0,8,97086.4,2,1,1,1.6899655178763158,0,4,False,True,False,False,True
22.0,8,0.0,2,0,0,-0.007741581072431441,0,2,False,False,True,False,True
34.0,9,0.0,2,0,0,-1.626846397081583,0,0,True,False,False,False,True
40.0,6,0.0,1,1,1,1.0739062597827504,0,1,True,False,False,True,False
44.0,6,0.0,2,0,0,1.1663183654619271,0,1,True,False,False,True,False
31.0,9,82674.15,1,1,0,-1.0106403758215394,0,2,True,False,False,False,True
36.0,7,0.0,2,1,0,-0.6877989698109479,0,0,False,False,True,False,True
65.0,1,0.0,1,1,1,1.3487854977662366,1,2,False,False,True,True,False
38.91,4,107073.27,2,1,1,-1.2016781988241692,1,1,False,False,True,True,False
38.91,1,88938.62,1,1,1,-1.5656310282294663,0,1,False,True,False,False,True
38.91,2,99806.85,1,0,1,-1.0974845234549402,0,3,False,True,False,True,False
33.0,5,150092.8,1,0,0,-0.49084714764726767,0,1,False,False,True,False,True
35.0,9,92833.89,1,1,0,-0.011135566242245735,1,0,False,True,False,False,True
30.0,3,90536.81,1,0,1,-0.6435210093764677,0,2,False,True,False,False,True
39.0,7,108055.1,2,1,0,-1.2669448570751147,0,0,False,True,False,False,True
42.0,2,100238.35,1,0,0,-0.2311490290038934,0,0,True,False,False,False,True
36.0,9,106190.55,1,0,1,-1.3406210099872649,0,2,False,False,True,False,True
28.0,9,154475.54,2,0,1,0.021052865298588744,1,2,False,True,False,False,True
30.0,9,132351.29,2,1,1,-0.45074219961698886,0,1,False,True,False,True,False
37.0,6,167864.4,1,1,0,0.27036505545351586,0,1,False,True,False,True,False
41.0,1,0.0,2,1,0,-1.1880850430341514,0,0,True,False,False,True,False
31.0,8,107818.63,1,1,0,1.7325557018962958,1,0,False,True,False,True,False
38.91,4,185173.81,2,1,0,0.3607216073519582,0,2,False,True,False,False,True
34.0,8,129433.34,2,0,0,-1.0773958803182044,0,4,True,False,False,False,True
39.0,6,120193.42,1,0,0,0.0007079082905388136,0,2,False,False,True,False,True
39.0,6,0.0,2,1,0,0.712594993484055,0,1,True,False,False,True,False
48.0,10,126384.42,1,1,1,1.7048023350012298,0,2,False,True,False,True,False
28.0,3,0.0,1,0,0,1.4529583063345444,0,1,True,False,False,True,False
42.0,9,152603.45,1,1,0,0.17693308487932127,1,0,True,False,False,False,True
52.0,1,0.0,1,0,1,-1.5902969780382497,1,0,True,False,False,True,False
56.0,0,148507.24,1,1,0,-0.9262452950562433,1,1,False,True,False,False,True
41.0,7,0.0,2,1,0,1.2396363049582653,0,4,True,False,False,True,False
24.0,9,101827.07,1,1,0,1.1679515404140175,0,3,True,False,False,False,True
34.0,3,0.0,2,1,1,0.4196995334753119,0,3,True,False,False,True,False
38.91,9,130862.43,1,1,1,0.2581391967938526,0,3,False,True,False,True,False
38.0,9,122570.87,1,1,1,-1.1212664164647004,0,2,True,False,False,False,True
25.0,1,0.0,2,0,1,-1.4542572605533,0,2,True,False,False,False,True
39.0,7,124828.46,2,1,1,0.42291510749725103,0,3,False,True,False,False,True
50.0,5,144895.05,2,1,1,-1.1328761828271687,0,1,False,True,False,True,False
34.0,5,63663.93,1,0,1,1.177131715589241,0,0,False,True,False,True,False
40.0,2,133463.1,1,0,1,-0.12041708934605813,0,1,True,False,False,False,True
48.0,2,213146.2,1,1,0,-0.4334902241754669,1,1,False,False,True,True,False
35.0,1,129490.36,2,0,1,-1.5910833086529592,1,0,False,False,True,True,False
44.0,10,137452.09,1,1,0,1.5555097644712839,0,3,False,True,False,False,True
34.0,7,0.0,2,1,1,1.3969801567336042,0,1,True,False,False,False,True
43.0,5,125851.93,1,1,1,1.6211433306384249,0,2,True,False,False,True,False
52.0,2,0.0,1,1,0,1.0265349700017272,1,3,False,False,True,False,True
31.0,5,40915.55,1,1,0,0.4542633025209964,1,2,True,False,False,True,False
21.0,5,113157.22,1,1,1,-0.7990026730596075,0,0,False,False,True,True,False
29.0,8,138296.94,2,1,0,0.7126928935583765,0,1,False,False,True,True,False
37.0,5,106967.18,1,0,0,-1.314525162645364,0,1,True,False,False,False,True
44.0,9,120681.63,1,1,0,-0.4391400844148583,0,2,True,False,False,False,True
32.0,0,0.0,2,0,1,-1.7251865870124325,0,0,True,False,False,False,True
32.0,7,0.0,2,1,0,-0.18379286765353792,0,3,False,False,True,True,False
48.0,9,0.0,1,1,0,0.8660165822462607,1,0,True,False,False,True,False
42.0,8,0.0,2,1,0,1.4034693840400465,0,2,False,False,True,False,True
37.0,2,127609.59,1,1,0,-0.025110062819096102,0,0,True,False,False,False,True
43.0,6,0.0,2,1,1,0.1556539907500374,0,1,True,False,False,True,False
57.0,7,0.0,1,1,0,-1.4284904131059215,1,2,False,False,True,False,True
33.0,7,0.0,2,0,0,-0.2972435775813829,0,3,True,False,False,True,False
28.0,2,0.0,2,1,1,-0.13951003829884273,0,1,False,False,True,True,False
73.0,6,97259.25,1,0,1,0.08050099000269748,0,1,True,False,False,True,False
33.0,4,123246.7,1,0,0,0.2190549831086304,0,1,False,True,False,True,False
22.0,6,101060.25,1,0,1,-0.2676285442641413,0,2,False,False,True,True,False
30.0,2,0.0,2,1,0,-0.28894293806498306,0,2,True,False,False,False,True
49.0,7,108007.36,1,0,0,-0.9210106841551816,0,4,True,False,False,True,False
36.0,2,0.0,2,1,1,0.11976778819597916,0,2,False,False,True,True,False
29.0,0,133702.89,1,1,0,-0.7739444273935077,1,2,False,False,True,False,True
31.0,9,125189.75,2,1,1,0.6918073125164625,0,1,False,True,False,False,True
24.0,7,113034.22,1,1,0,1.0853038803358548,1,2,False,True,False,True,False
41.0,9,109013.23,1,1,0,1.6764686971505505,0,1,False,False,True,True,False
39.0,2,0.0,2,1,0,-1.0323675845006035,1,1,False,False,True,True,False
24.0,9,57929.81,2,0,0,-0.8165168746327044,0,2,False,True,False,False,True
29.0,4,130114.39,1,1,0,1.1116379569882713,0,0,True,False,False,True,False
27.0,5,95826.49,2,1,0,0.9721619990616414,0,1,False,True,False,False,True
44.0,10,129608.57,1,1,0,-1.645304473616344,1,0,False,True,False,False,True
30.0,4,169462.09,1,1,0,0.21035248378449195,0,0,True,False,False,False,True
40.0,5,0.0,2,1,1,0.8062860601696863,0,0,True,False,False,False,True
35.0,7,133868.21,1,1,1,-1.265991244273021,0,0,False,False,True,True,False
30.0,0,0.0,2,1,1,0.5297251319219686,0,0,True,False,False,True,False
36.0,5,190479.48,2,0,0,1.3782808947581977,0,1,False,True,False,False,True
40.0,8,101993.12,1,0,1,-0.09244201269120604,0,1,False,False,True,True,False
55.0,3,161608.81,1,1,0,-1.5999513512644048,1,3,False,True,False,True,False
45.0,2,122311.21,1,1,1,-1.4016880506628344,0,4,False,False,True,True,False
65.0,2,0.0,2,1,1,-0.9045519949286761,0,0,True,False,False,False,True
45.0,1,162150.42,2,1,0,1.2944551298780314,0,3,False,True,False,True,False
42.0,2,0.0,2,1,1,-0.7758878221192913,0,1,True,False,False,False,True
50.0,4,0.0,1,1,1,-1.5918477291267017,1,4,True,False,False,True,False
32.0,8,0.0,2,1,0,-0.07360868151988115,0,0,True,False,False,False,True
39.0,1,99010.67,1,1,0,1.649443407717623,0,2,True,False,False,True,False
37.0,0,0.0,1,0,1,0.5465620319151687,0,0,False,False,True,True,False
30.0,5,0.0,2,0,1,1.6696617728000853,0,1,False,False,True,False,True
34.0,7,111388.18,2,1,0,0.8429234675569041,0,2,False,True,False,True,False
41.0,8,56214.85,2,0,0,-0.12359458145631622,1,2,True,False,False,True,False
36.0,3,84327.77,2,1,0,-1.4331124095099417,0,0,True,False,False,True,False
40.0,1,0.0,2,0,0,0.25920375142084306,0,0,True,False,False,False,True
32.0,8,93012.89,1,1,0,-0.22836661499107452,0,1,True,False,False,False,True
29.0,9,61710.44,2,1,0,0.48667570439171726,0,1,False,False,True,False,True
35.0,3,174790.15,1,1,1,-1.7300295976162083,0,4,True,False,False,False,True
32.0,6,0.0,2,1,1,-0.9927168371703738,0,1,False,False,True,True,False
37.0,3,107720.64,1,1,1,1.0172718492928423,0,2,False,True,False,False,True
57.0,10,0.0,2,1,1,-0.9084544344809342,0,0,True,False,False,False,True
35.0,6,96423.84,1,1,0,-1.5580857669064097,0,0,True,False,False,False,True
30.0,2,141040.01,1,1,1,-1.636514333728337,0,4,False,False,True,False,True
42.0,4,105420.18,1,0,1,0.3707129794129889,0,3,True,False,False,False,True
50.0,5,0.0,1,0,1,0.8008624308302812,1,0,False,False,True,False,True
38.0,2,129022.06,2,1,1,-1.4905048065433082,1,2,True,False,False,True,False
33.0,3,176666.62,1,1,0,-0.0942391659205343,0,0,False,False,True,False,True
37.0,3,0.0,1,1,1,1.3838179003826072,0,0,True,False,False,False,True
41.0,3,89763.84,1,0,0,1.7252410187234168,1,1,False,False,True,True,False
34.0,5,134954.53,1,1,1,0.9018657462286842,0,1,True,False,False,False,True
45.0,5,0.0,1,1,0,0.7376981027721351,1,1,True,False,False,False,True
45.0,2,106376.85,1,0,1,1.0115943405422305,0,2,True,False,False,False,True
33.0,2,161814.64,2,1,0,1.204912730995527,0,2,False,True,False,False,True
31.0,8,0.0,2,1,1,1.214183155084734,0,1,True,False,False,False,True
41.0,9,0.0,2,0,0,-0.19541358908648995,0,1,True,False,False,True,False
34.0,1,63095.01,1,1,1,-1.0336792368285013,0,2,True,False,False,True,False
26.0,4,118287.01,2,0,0,-0.6896988920348126,0,0,False,True,False,False,True
47.0,7,106854.21,1,0,1,1.0062802619076607,1,1,False,True,False,False,True
46.0,7,49512.55,1,1,0,0.5723954792354867,0,2,True,False,False,False,True
33.0,9,0.0,2,0,0,1.330021722597982,0,2,False,False,True,True,False
43.0,1,105799.32,2,1,0,-1.1338011037779958,1,4,True,False,False,False,True
54.0,8,0.0,1,1,1,-1.2407491968688078,1,1,True,False,False,False,True
31.0,9,114722.05,2,1,1,-0.03324202902805036,0,2,True,False,False,True,False
30.0,7,0.0,1,0,1,0.43333390119714865,0,0,False,False,True,False,True
42.0,2,0.0,2,1,1,1.1806152541130082,0,0,True,False,False,False,True
33.0,10,0.0,1,1,0,-1.655928805305314,1,4,True,False,False,False,True
45.0,6,99564.22,1,1,1,0.15271385850025657,1,2,False,True,False,False,True
37.0,4,170557.91,2,1,0,1.7069502243760404,0,2,True,False,False,False,True
30.0,9,0.0,2,1,1,-1.2716564068330878,0,2,True,False,False,True,False
39.0,6,74596.15,3,1,1,-0.24942295602052555,1,0,False,True,False,True,False
50.0,2,96888.39,1,1,0,-0.39792971760578516,1,3,False,True,False,False,True
29.0,3,130830.22,1,1,0,-0.6788963230879749,0,1,False,True,False,True,False
72.0,1,0.0,2,0,1,0.20677174074643384,0,2,True,False,False,False,True
40.0,0,0.0,2,1,0,-0.6583065289491176,0,1,True,False,False,False,True
37.0,1,0.0,2,0,1,0.9740412283745928,0,0,True,False,False,True,False
20.0,3,119714.25,2,0,1,0.8702349799424656,0,3,False,True,False,False,True
67.0,5,113978.97,2,0,1,-0.12075147983081844,0,1,True,False,False,True,False
42.0,6,100160.75,1,1,0,-1.1585821687718605,1,3,False,True,False,False,True
29.0,2,0.0,1,1,1,0.7700677277009675,0,2,True,False,False,True,False
43.0,3,116220.5,3,1,0,-0.7700941548435521,1,0,False,True,False,True,False
46.0,2,0.0,3,1,0,-0.1920055188260537,1,1,True,False,False,True,False
28.0,2,81173.83,2,0,1,1.0906715170927883,0,2,True,False,False,False,True
38.0,4,0.0,2,1,0,0.628949900321864,0,1,False,False,True,False,True
39.0,5,116803.8,1,1,0,0.41668793243237634,0,2,False,True,False,True,False
37.0,8,105961.68,2,0,1,-0.4509218279949179,0,2,True,False,False,False,True
67.0,6,117411.6,1,1,1,-0.9567280395117869,1,1,False,True,False,False,True
34.0,7,0.0,2,1,0,-0.6618284971645814,0,0,False,False,True,False,True
40.0,10,123497.58,1,1,0,0.5540655596363833,1,1,True,False,False,True,False
26.0,7,152400.51,2,1,0,-0.35953915116118135,0,3,False,True,False,False,True
26.0,1,0.0,2,1,1,1.7310458149596473,0,0,True,False,False,True,False
24.0,8,103097.85,1,1,1,0.9996423586446564,0,1,False,True,False,False,True
54.0,8,126418.14,1,1,0,0.5969732668103787,1,2,False,True,False,False,True
36.0,5,77846.9,1,0,0,-0.0049428213988907625,0,3,False,True,False,True,False
38.91,1,0.0,2,1,1,-0.03751781042678852,0,1,False,False,True,False,True
79.0,0,0.0,2,0,1,1.2325106402237302,0,2,True,False,False,True,False
37.0,2,79731.91,1,1,1,-0.7395766323864736,0,0,False,True,False,False,True
28.0,8,0.0,1,0,0,1.332401407353024,0,2,False,False,True,False,True
41.0,0,0.0,2,0,1,-1.1443181453322302,0,3,False,False,True,False,True
34.0,10,0.0,2,1,1,1.7136355996111403,0,2,True,False,False,False,True
34.0,6,37266.67,2,0,0,0.9881626620079291,0,2,False,True,False,True,False
30.0,6,127992.25,1,1,1,-0.8630689685875675,0,2,True,False,False,True,False
38.91,3,54901.01,1,1,1,0.6953045883508363,0,4,False,True,False,False,True
42.0,9,108748.08,2,1,1,-0.6045656481869331,0,2,False,True,False,False,True
48.0,6,99906.19,1,1,0,-0.6219523883844039,0,2,False,False,True,True,False
32.0,6,184686.41,2,1,0,-1.4803917114769045,0,0,True,False,False,True,False
26.0,0,110654.02,1,0,1,0.2049984104481571,0,2,True,False,False,True,False
31.0,9,79019.8,1,1,1,-1.4169255103654335,0,2,False,False,True,False,True
38.91,9,99240.51,1,1,0,0.40076030328931234,0,0,False,False,True,True,False
34.0,2,0.0,2,1,1,0.842288421248872,0,0,True,False,False,False,True
36.0,7,0.0,2,1,0,-1.498791534859094,0,1,True,False,False,False,True
39.0,7,0.0,1,0,0,-0.32745209749482185,1,0,False,False,True,True,False
35.0,7,52436.2,1,1,0,1.0600597462515493,0,3,False,True,False,True,False
41.0,9,0.0,2,0,1,1.5912575505792326,0,1,False,False,True,False,True
34.0,3,100337.96,3,1,0,-0.896073465934424,1,2,False,True,False,False,True
34.0,1,149297.19,2,1,1,1.499792623771865,0,4,False,True,False,True,False
30.0,8,0.0,2,1,0,-1.1638609477348718,0,2,True,False,False,False,True
28.0,4,145605.44,1,0,1,-0.10792848288479662,0,2,False,True,False,False,True
37.0,7,0.0,2,1,1,0.18795875470600698,0,2,False,False,True,True,False
62.0,3,0.0,1,1,1,-1.545729142960974,1,3,True,False,False,False,True
38.91,10,0.0,2,1,0,1.563318643045977,0,3,True,False,False,True,False
35.0,6,84026.86,1,0,1,1.1157730613707992,0,1,True,False,False,False,True
46.0,1,0.0,1,1,0,0.9055765589924837,1,2,True,False,False,False,True
39.0,8,0.0,2,1,1,-1.150118420428261,0,3,True,False,False,False,True
29.0,10,0.0,2,1,1,-0.555514407041755,0,3,False,False,True,False,True
35.0,4,138718.92,1,1,1,-0.9188078455379458,1,0,False,True,False,False,True
42.0,7,118274.71,1,1,1,-1.2903424531679113,0,4,True,False,False,False,True
22.0,8,174185.98,2,0,1,1.6092409073930385,0,3,True,False,False,True,False
40.0,7,113208.86,2,1,0,-1.1392035185364646,0,2,True,False,False,False,True
29.0,5,103907.28,1,1,0,1.0631565533982459,0,1,False,False,True,False,True
32.0,8,119023.28,1,1,0,0.012625286076585538,0,0,True,False,False,True,False
26.0,5,166297.89,1,1,1,1.4190154985062697,0,3,False,False,True,True,False
34.0,10,0.0,2,1,0,-0.3653660314283865,0,1,False,False,True,False,True
42.0,9,63227.0,1,0,1,0.647324335762933,0,2,False,True,False,False,True
41.0,5,94521.17,2,1,0,1.6491140600430851,0,3,False,False,True,True,False
27.0,7,0.0,2,1,0,-0.8486658331417966,0,1,True,False,False,False,True
34.0,9,112822.26,1,0,0,0.8748630624967544,1,3,False,False,True,True,False
38.0,3,0.0,2,1,1,0.21565352066848592,0,2,True,False,False,False,True
25.0,2,135903.33,1,1,0,-0.45965840976056066,0,3,True,False,False,False,True
31.0,4,125169.26,1,1,1,0.11383970394430665,0,2,True,False,False,True,False
44.0,7,0.0,3,1,0,0.9696677207915411,1,2,False,False,True,True,False
58.0,0,149117.31,1,1,1,1.0869737460795645,0,0,True,False,False,False,True
33.0,5,0.0,2,1,1,0.06342777348906609,0,1,True,False,False,False,True
31.0,10,0.0,2,1,0,1.058990670484359,0,2,True,False,False,True,False
36.0,6,132311.71,1,0,0,-1.471585921488207,0,1,False,False,True,True,False
35.0,8,0.0,2,1,0,-1.5607704547349148,0,2,True,False,False,False,True
33.0,6,0.0,2,1,1,1.575372524488049,0,2,True,False,False,True,False
38.91,4,118082.89,1,0,0,-0.09824420057732126,0,0,True,False,False,False,True
31.0,1,119266.69,1,1,1,-1.2490973083573031,0,1,True,False,False,False,True
43.0,2,0.0,1,1,1,1.2162686179467892,1,2,True,False,False,False,True
35.0,7,156847.29,2,1,0,-1.18707665487964,0,1,False,True,False,False,True
50.0,4,137104.47,1,1,0,0.4708289341022226,1,1,True,False,False,False,True
31.0,8,78398.69,1,1,0,-0.9590595567347027,0,0,False,True,False,False,True
80.0,4,0.0,2,1,1,1.5391496708791306,0,1,True,False,False,True,False
38.91,6,63669.42,1,1,0,0.7828724661961834,0,2,False,True,False,False,True
38.0,3,0.0,2,0,0,1.241115413363555,0,1,True,False,False,False,True
59.0,0,135296.33,1,1,0,1.4386313347121353,0,4,False,True,False,True,False
36.0,2,153804.44,1,1,1,-0.22391659580464549,0,3,False,False,True,False,True
37.0,3,0.0,2,0,0,-0.7462475747509366,0,0,False,False,True,False,True
49.0,2,147069.78,1,1,0,0.3556153272765612,1,0,True,False,False,False,True
42.0,9,0.0,2,1,1,-1.241155577816746,0,2,False,False,True,False,True
22.0,3,0.0,1,1,0,-0.25499160962633244,0,1,False,False,True,True,False
24.0,4,95741.75,1,1,0,-0.9376060509277202,0,0,True,False,False,False,True
57.0,2,145965.33,1,1,1,-0.6197766766083656,0,0,False,False,True,True,False
38.91,8,141441.75,1,1,1,-1.4573942362917696,0,2,True,False,False,False,True
40.0,1,139290.41,1,1,0,1.439203780617404,1,3,True,False,False,False,True
31.0,4,0.0,2,0,0,-0.8639815433478496,0,3,True,False,False,True,False
30.0,3,0.0,2,1,0,0.13128713175445622,0,2,True,False,False,False,True
35.0,4,144428.87,1,1,0,0.5919634956892416,0,2,True,False,False,False,True
35.0,2,0.0,2,1,0,0.0589565397217006,0,1,True,False,False,False,True
46.0,9,95441.27,1,1,0,0.1507767238147493,1,1,True,False,False,True,False
38.91,1,144848.74,1,1,1,1.372375763987538,0,2,False,True,False,False,True
26.0,7,116244.14,2,1,1,-0.08599034562642195,0,1,False,True,False,False,True
50.0,7,0.0,2,0,1,-0.48596692458184887,0,1,True,False,False,False,True
40.0,1,146502.07,1,1,0,-1.4072457491981576,0,1,False,False,True,True,False
44.0,2,117028.6,2,0,1,0.7753745029552146,0,1,False,True,False,False,True
30.0,8,112013.81,1,1,0,1.3508087080055435,1,1,False,True,False,True,False
37.0,6,108269.37,1,1,0,-1.6431266751602134,0,1,False,False,True,True,False
29.0,7,182123.79,1,1,0,0.2910617919470937,1,0,True,False,False,False,True
32.0,3,150923.74,2,0,1,1.296563372331092,0,1,False,True,False,True,False
33.0,2,0.0,2,1,0,-1.7055003253534582,0,1,True,False,False,False,True
38.91,5,165272.13,1,1,0,-1.495113065636722,1,4,False,False,True,True,False
39.0,10,115301.31,1,1,0,-0.9835712661066778,1,2,False,True,False,True,False
40.0,6,129502.49,2,0,1,-0.2432896815597959,1,1,False,True,False,True,False
31.0,4,118342.26,1,0,0,1.069144455812559,0,1,True,False,False,False,True
47.0,5,0.0,2,1,1,-1.0628174637446963,0,0,False,False,True,True,False
22.0,8,0.0,2,0,0,0.4781450083951625,0,0,True,False,False,False,True
25.0,7,0.0,2,1,0,-1.2121893281181424,0,2,True,False,False,True,False
